Id,Timestamp,Datetime,minute,Xvib,Yvib,Zvib
650,1669782055.186044,2022-11-30 13:20:55.186044,20,-2160,-3305,-28
651,1669782055.248556,2022-11-30 13:20:55.248556,20,-2326,3372,-291
650,1669782055.295429,2022-11-30 13:20:55.295429,20,-2160,-3285,-20
651,1669782055.342367,2022-11-30 13:20:55.342367,20,-2322,3340,-315
650,1669782055.451683,2022-11-30 13:20:55.451683,20,-2148,-3269,16
651,1669782055.482574,2022-11-30 13:20:55.482574,20,-2362,3352,-323
650,1669782055.654807,2022-11-30 13:20:55.654807,20,-2176,-3305,-4
651,1669782055.795432,2022-11-30 13:20:55.795432,20,-2338,3432,-331
650,1669782055.936057,2022-11-30 13:20:55.936057,20,-2136,-3309,20
651,1669782055.967342,2022-11-30 13:20:55.967342,20,-2334,3324,-371
650,1669782055.967342,2022-11-30 13:20:55.967342,20,-2188,-3277,-44
651,1669782055.967342,2022-11-30 13:20:55.967342,20,-2370,3400,-355
650,1669782056.172684,2022-11-30 13:20:56.172684,20,-2156,-3293,0
651,1669782056.219562,2022-11-30 13:20:56.219562,20,-2370,3376,-319
650,1669782056.250455,2022-11-30 13:20:56.250455,20,-2136,-3305,12
651,1669782056.485188,2022-11-30 13:20:56.485188,20,-2338,3364,-299
650,1669782056.54733,2022-11-30 13:20:56.547330,20,-2144,-3297,4
651,1669782056.54733,2022-11-30 13:20:56.547330,20,-2370,3364,-327
650,1669782056.797687,2022-11-30 13:20:56.797687,20,-2156,-3293,-4
651,1669782056.938311,2022-11-30 13:20:56.938311,20,-2346,3340,-327
650,1669782056.969563,2022-11-30 13:20:56.969563,20,-2132,-3265,-28
651,1669782056.984836,2022-11-30 13:20:56.984836,20,-2354,3364,-335
650,1669782057.063313,2022-11-30 13:20:57.063313,20,-2152,-3241,4
651,1669782057.063313,2022-11-30 13:20:57.063313,20,-2322,3388,-315
650,1669782057.297655,2022-11-30 13:20:57.297655,20,-2156,-3281,-4
651,1669782057.344563,2022-11-30 13:20:57.344563,20,-2342,3336,-295
650,1669782057.48522,2022-11-30 13:20:57.485220,20,-2104,-3281,24
651,1669782057.500811,2022-11-30 13:20:57.500811,20,-2346,3348,-319
650,1669782057.547689,2022-11-30 13:20:57.547689,20,-2144,-3297,28
651,1669782057.563108,2022-11-30 13:20:57.563108,20,-2350,3344,-367
650,1669782057.797689,2022-11-30 13:20:57.797689,20,-2152,-3293,-16
651,1669782057.938312,2022-11-30 13:20:57.938312,20,-2370,3360,-331
650,1669782058.000808,2022-11-30 13:20:58.000808,20,-2172,-3309,8
651,1669782058.032064,2022-11-30 13:20:58.032064,20,-2306,3376,-319
650,1669782058.078953,2022-11-30 13:20:58.078953,20,-2148,-3261,-28
651,1669782058.094407,2022-11-30 13:20:58.094407,20,-2346,3376,-319
