Id,Timestamp,Datetime,minute,Xvib,Yvib,Zvib
650,1669786092.429792,2022-11-30 14:28:12.429792,28,-2140,-3285,20
650,1669786092.570409,2022-11-30 14:28:12.570409,28,-2128,-3329,16
650,1669786092.632874,2022-11-30 14:28:12.632874,28,-2132,-3297,-4
650,1669786092.992283,2022-11-30 14:28:12.992283,28,-2132,-3289,-8
650,1669786093.023175,2022-11-30 14:28:13.023175,28,-2140,-3317,8
650,1669786093.213102,2022-11-30 14:28:13.213102,28,-2152,-3265,20
650,1669786093.416228,2022-11-30 14:28:13.416228,28,-2144,-3281,-20
650,1669786093.681906,2022-11-30 14:28:13.681906,28,-2132,-3309,-12
650,1669786093.869353,2022-11-30 14:28:13.869353,28,-2140,-3245,24
650,1669786093.931895,2022-11-30 14:28:13.931895,28,-2144,-3265,-28
650,1669786094.244351,2022-11-30 14:28:14.244351,28,-2156,-3285,-40
650,1669786094.322471,2022-11-30 14:28:14.322471,28,-2132,-3309,-16
650,1669786094.541229,2022-11-30 14:28:14.541229,28,-2136,-3317,8
650,1669786094.713069,2022-11-30 14:28:14.713069,28,-2124,-3265,0
650,1669786094.916229,2022-11-30 14:28:14.916229,28,-2156,-3289,4
650,1669786094.947491,2022-11-30 14:28:14.947491,28,-2184,-3305,0
650,1669786095.262252,2022-11-30 14:28:15.262252,28,-2124,-3317,-32
650,1669786095.340024,2022-11-30 14:28:15.340024,28,-2108,-3293,12
650,1669786095.684124,2022-11-30 14:28:15.684124,28,-2156,-3293,-24
650,1669786095.840018,2022-11-30 14:28:15.840018,28,-2112,-3309,16
650,1669786095.902526,2022-11-30 14:28:15.902526,28,-2140,-3317,16
650,1669786096.184126,2022-11-30 14:28:16.184126,28,-2140,-3317,-8
650,1669786096.387252,2022-11-30 14:28:16.387252,28,-2172,-3277,-40
650,1669786096.434124,2022-11-30 14:28:16.434124,28,-2152,-3297,8
650,1669786096.699755,2022-11-30 14:28:16.699755,28,-2136,-3285,4
650,1669786096.918517,2022-11-30 14:28:16.918517,28,-2160,-3289,-28
650,1669786096.99665,2022-11-30 14:28:16.996650,28,-2120,-3313,-24
650,1669786097.248896,2022-11-30 14:28:17.248896,28,-2132,-3293,-32
650,1669786097.42077,2022-11-30 14:28:17.420770,28,-2120,-3321,0
650,1669786097.63952,2022-11-30 14:28:17.639520,28,-2120,-3305,16
650,1669786097.733255,2022-11-30 14:28:17.733255,28,-2116,-3281,0
650,1669786098.01457,2022-11-30 14:28:18.014570,28,-2132,-3313,-12
650,1669786098.186413,2022-11-30 14:28:18.186413,28,-2116,-3277,12
650,1669786098.233319,2022-11-30 14:28:18.233319,28,-2140,-3301,0
650,1669786098.530133,2022-11-30 14:28:18.530133,28,-2116,-3305,12
650,1669786098.717645,2022-11-30 14:28:18.717645,28,-2176,-3317,8
650,1669786098.983285,2022-11-30 14:28:18.983285,28,-2132,-3301,20
650,1669786099.077022,2022-11-30 14:28:19.077022,28,-2136,-3285,-8
650,1669786099.234935,2022-11-30 14:28:19.234935,28,-2168,-3337,4
650,1669786099.469447,2022-11-30 14:28:19.469447,28,-2148,-3257,16
650,1669786099.625289,2022-11-30 14:28:19.625289,28,-2128,-3321,24
650,1669786099.797516,2022-11-30 14:28:19.797516,28,-2132,-3321,20
650,1669786100.002904,2022-11-30 14:28:20.002904,28,-2144,-3333,8
650,1669786100.033955,2022-11-30 14:28:20.033955,28,-2156,-3297,44
650,1669786100.315404,2022-11-30 14:28:20.315404,28,-2156,-3297,12
650,1669786100.487245,2022-11-30 14:28:20.487245,28,-2140,-3297,-44
650,1669786100.78418,2022-11-30 14:28:20.784180,28,-2124,-3325,12
650,1669786100.815402,2022-11-30 14:28:20.815402,28,-2140,-3297,-28
650,1669786100.940404,2022-11-30 14:28:20.940404,28,-2152,-3301,0
650,1669786101.207788,2022-11-30 14:28:21.207788,28,-2120,-3313,28
650,1669786101.364302,2022-11-30 14:28:21.364302,28,-2152,-3305,-4
650,1669786101.692375,2022-11-30 14:28:21.692375,28,-2168,-3297,-20
650,1669786101.771412,2022-11-30 14:28:21.771412,28,-2188,-3305,-40
650,1669786101.850224,2022-11-30 14:28:21.850224,28,-2128,-3305,32
650,1669786102.116244,2022-11-30 14:28:22.116244,28,-2136,-3309,8
650,1669786102.381827,2022-11-30 14:28:22.381827,28,-2120,-3297,-28
650,1669786102.569333,2022-11-30 14:28:22.569333,28,-2168,-3261,-32
650,1669786102.615854,2022-11-30 14:28:22.615854,28,-2160,-3273,-48
650,1669786102.881834,2022-11-30 14:28:22.881834,28,-2144,-3305,20
650,1669786103.022457,2022-11-30 14:28:23.022457,28,-2144,-3277,-24
650,1669786103.149094,2022-11-30 14:28:23.149094,28,-2144,-3289,32
650,1669786103.414894,2022-11-30 14:28:23.414894,28,-2124,-3309,-20
650,1669786103.618114,2022-11-30 14:28:23.618114,28,-2200,-3285,-4
650,1669786103.66457,2022-11-30 14:28:23.664570,28,-2132,-3309,-8
650,1669786103.946177,2022-11-30 14:28:23.946177,28,-2152,-3289,8
650,1669786104.086776,2022-11-30 14:28:24.086776,28,-2140,-3285,8
650,1669786104.383569,2022-11-30 14:28:24.383569,28,-2160,-3317,-20
650,1669786104.602222,2022-11-30 14:28:24.602222,28,-2168,-3289,24
650,1669786104.633652,2022-11-30 14:28:24.633652,28,-2124,-3297,-8
650,1669786104.836805,2022-11-30 14:28:24.836805,28,-2156,-3301,-36
650,1669786105.071178,2022-11-30 14:28:25.071178,28,-2132,-3317,-16
650,1669786105.133978,2022-11-30 14:28:25.133978,28,-2116,-3293,8
650,1669786105.386056,2022-11-30 14:28:25.386056,28,-2152,-3265,-8
650,1669786105.464181,2022-11-30 14:28:25.464181,28,-2108,-3305,16
650,1669786105.761056,2022-11-30 14:28:25.761056,28,-2124,-3273,-24
650,1669786105.93294,2022-11-30 14:28:25.932940,28,-2140,-3297,-40
650,1669786106.182896,2022-11-30 14:28:26.182896,28,-2176,-3249,-4
650,1669786106.24543,2022-11-30 14:28:26.245430,28,-2156,-3297,-4
650,1669786106.417308,2022-11-30 14:28:26.417308,28,-2152,-3321,0
650,1669786106.495073,2022-11-30 14:28:26.495073,28,-2140,-3293,-4
650,1669786106.870429,2022-11-30 14:28:26.870429,28,-2188,-3277,20
650,1669786106.93293,2022-11-30 14:28:26.932930,28,-2144,-3289,-8
650,1669786107.168953,2022-11-30 14:28:27.168953,28,-2136,-3313,8
650,1669786107.434821,2022-11-30 14:28:27.434821,28,-2132,-3305,0
650,1669786107.559809,2022-11-30 14:28:27.559809,28,-2124,-3269,-12
650,1669786107.700048,2022-11-30 14:28:27.700048,28,-2156,-3301,-12
650,1669786107.809789,2022-11-30 14:28:27.809789,28,-2112,-3293,-28
650,1669786108.169124,2022-11-30 14:28:28.169124,28,-2124,-3313,-4
650,1669786108.356721,2022-11-30 14:28:28.356721,28,-2144,-3289,4
650,1669786108.450195,2022-11-30 14:28:28.450195,28,-2164,-3293,8
650,1669786108.63755,2022-11-30 14:28:28.637550,28,-2128,-3329,0
650,1669786108.841031,2022-11-30 14:28:28.841031,28,-2156,-3313,24
650,1669786108.99728,2022-11-30 14:28:28.997280,28,-2156,-3285,-28
650,1669786109.186622,2022-11-30 14:28:29.186622,28,-2152,-3285,8
650,1669786109.233348,2022-11-30 14:28:29.233348,28,-2148,-3269,16
650,1669786109.514957,2022-11-30 14:28:29.514957,28,-2136,-3301,-4
650,1669786109.733705,2022-11-30 14:28:29.733705,28,-2124,-3277,-4
650,1669786109.954097,2022-11-30 14:28:29.954097,28,-2188,-3257,-16
650,1669786110.173063,2022-11-30 14:28:30.173063,28,-2128,-3301,12
650,1669786110.376182,2022-11-30 14:28:30.376182,28,-2144,-3301,-12
650,1669786110.42306,2022-11-30 14:28:30.423060,28,-2164,-3301,20
650,1669786110.579347,2022-11-30 14:28:30.579347,28,-2112,-3297,16
650,1669786110.76645,2022-11-30 14:28:30.766450,28,-2160,-3305,12
650,1669786110.954318,2022-11-30 14:28:30.954318,28,-2148,-3289,-16
650,1669786111.284021,2022-11-30 14:28:31.284021,28,-2124,-3329,-8
650,1669786111.330898,2022-11-30 14:28:31.330898,28,-2164,-3257,-56
650,1669786111.627771,2022-11-30 14:28:31.627771,28,-2116,-3301,-32
650,1669786111.773474,2022-11-30 14:28:31.773474,28,-2124,-3281,32
650,1669786111.852182,2022-11-30 14:28:31.852182,28,-2132,-3325,-8
650,1669786112.133787,2022-11-30 14:28:32.133787,28,-2176,-3273,12
650,1669786112.180458,2022-11-30 14:28:32.180458,28,-2144,-3277,4
650,1669786112.415027,2022-11-30 14:28:32.415027,28,-2104,-3305,-16
650,1669786112.586912,2022-11-30 14:28:32.586912,28,-2168,-3281,0
650,1669786112.883788,2022-11-30 14:28:32.883788,28,-2132,-3297,8
650,1669786112.993161,2022-11-30 14:28:32.993161,28,-2156,-3229,-64
650,1669786113.182967,2022-11-30 14:28:33.182967,28,-2152,-3285,-32
650,1669786113.37047,2022-11-30 14:28:33.370470,28,-2104,-3309,4
650,1669786113.448592,2022-11-30 14:28:33.448592,28,-2148,-3261,12
650,1669786113.682971,2022-11-30 14:28:33.682971,28,-2132,-3309,-8
650,1669786113.886096,2022-11-30 14:28:33.886096,28,-2164,-3337,24
650,1669786113.96387,2022-11-30 14:28:33.963870,28,-2156,-3293,-16
650,1669786114.229844,2022-11-30 14:28:34.229844,28,-2168,-3301,0
